id,icon,type,name,weight,base_value,upgrade_cost,probability,color_class,,,,,,
0,🚩,GO,起點,100,2000,0,1,text-neon-pink font-black,,,,,,
1,💰,SMALL_GOLD,小金,150,500,0,1,text-yellow-300,,,,,,
2,🏢,PROPERTY,地產,200,-500,0,1,text-red-400,,,,,,
3,💰,SMALL_GOLD,小金,150,-200,0,1,text-purple-400,,,,,,
4,🏠,PROPERTY,地產,200,120,0,1,text-neon-blue,,,,,,
5,💰,SMALL_GOLD,小金,150,120,0,1,text-neon-blue,,,,GO,,100
6,💎,BIG_GOLD,大金,50,2000,0,1,text-yellow-500 font-bold,,,,SMALL_GOLD,小金,150
7,✈️,AIRPORT,機場,200,1000,0,0.5,text-yellow-400,,,,PROPERTY,地產,200
8,🏢,PROPERTY,地產,200,150,0,1,text-neon-blue,,,,AIRPORT,機場,200
9,🚧,PROPERTY,地產,200,-100,0,1,text-red-400,,,,JAIL,監獄,100
10,🏢,PROPERTY,地產,200,150,0,1,text-neon-blue,,,,PARKING,停車場,50
11,💰,SMALL_GOLD,小金,150,500,0,1,text-yellow-300,,,,GOTOJAIL,去監獄,200
12,🏢,PROPERTY,地產,200,180,0,1,text-neon-blue,,,,BIG_GOLD,大金,50
13,⛓️,JAIL,監獄,100,0,0,1,text-gray-500,,,,,,
14,🏢,PROPERTY,地產,200,200,0,1,text-neon-blue,,,,,,
15,🏢,PROPERTY,地產,200,200,0,1,text-neon-blue,,,,,,
16,💎,BIG_GOLD,大金,50,2000,0,1,text-yellow-500 font-bold,,,,,,
17,🏢,PROPERTY,地產,200,220,0,1,text-neon-blue,,,,,,
18,🏢,PROPERTY,地產,200,220,0,1,text-neon-blue,,,,,,
19,🏢,PROPERTY,地產,200,220,0,1,text-neon-blue,,,,,,
20,✈️,AIRPORT,機場,200,1500,0,0.4,text-yellow-400,,,,,,
21,🏢,PROPERTY,地產,200,250,0,1,text-neon-blue,,,,,,
22,💰,SMALL_GOLD,小金,150,500,0,1,text-yellow-300,,,,,,
23,🏢,PROPERTY,地產,200,250,0,1,text-neon-blue,,,,,,
24,🏢,PROPERTY,地產,200,280,0,1,text-neon-blue,,,,,,
25,🏢,PROPERTY,地產,200,280,0,1,text-neon-blue,,,,,,
26,🅿️,PARKING,停車場,50,0,0,1,text-white,,,,,,
27,🏢,PROPERTY,地產,200,300,0,1,text-neon-blue,,,,,,
28,🏢,PROPERTY,地產,200,300,0,1,text-neon-blue,,,,,,
29,💎,BIG_GOLD,大金,50,2000,0,1,text-yellow-500 font-bold,,,,,,
30,🏢,PROPERTY,地產,200,320,0,1,text-neon-blue,,,,,,
31,🏢,PROPERTY,地產,200,320,0,1,text-neon-blue,,,,,,
32,🏢,PROPERTY,地產,200,320,0,1,text-neon-blue,,,,,,
33,✈️,AIRPORT,機場,200,2000,0,0.3,text-yellow-400,,,,,,
34,🏢,PROPERTY,地產,200,350,0,1,text-neon-blue,,,,,,
35,💰,SMALL_GOLD,小金,150,500,0,1,text-yellow-300,,,,,,
36,🏢,PROPERTY,地產,200,350,0,1,text-neon-blue,,,,,,
37,🏢,PROPERTY,地產,200,380,0,1,text-neon-blue,,,,,,
38,🏢,PROPERTY,地產,200,380,0,1,text-neon-blue,,,,,,
39,👮,GOTOJAIL,去監獄,200,0,0,1,text-red-500,,,,,,
40,🏢,PROPERTY,地產,200,400,0,1,text-neon-blue,,,,,,
41,🏢,PROPERTY,地產,200,400,0,1,text-neon-blue,,,,,,
42,💎,BIG_GOLD,大金,50,2000,0,1,text-yellow-500 font-bold,,,,,,
43,🏢,PROPERTY,地產,200,420,0,1,text-neon-blue,,,,,,
44,🏢,PROPERTY,地產,200,420,0,1,text-neon-blue,,,,,,
45,🏢,PROPERTY,地產,200,420,0,1,text-neon-blue,,,,,,
46,✈️,AIRPORT,機場,200,2500,0,0.2,text-yellow-400,,,,,,
47,🏢,PROPERTY,地產,200,450,0,1,text-neon-blue,,,,,,
48,💰,SMALL_GOLD,小金,150,500,0,1,text-yellow-300,,,,,,
49,🏢,PROPERTY,地產,200,450,0,1,text-neon-blue,,,,,,
50,🏢,PROPERTY,地產,200,480,0,1,text-neon-blue,,,,,,
51,🏢,PROPERTY,地產,200,480,0,1,text-neon-blue,,,,,,
