group,level,stage_area,cell_1_1,cell_2_1,cell_3_1,cell_4_1,cell_2_2,cell_3_2,cell_4_2,cell_3_3,cell_4_3
1,1,3_3,,,1,,,,,,
1,2,5_5,,2,,,1,,,,
1,3,7_7,,2,1,,,1,,,
1,4,7_8,,2,,2,,,,,
1,5,7_9,1,,2,,2,,,,
1,6,8_9,,3,2,,,,1,,
1,7,10_10,2,2,,2,,,,1,
1,8,7_7,,2,1,,,1,,,
1,9,7_8,,2,,2,,,,,
1,10,7_9,,2,,,1,,,,1
1,11,8_9,,,2,,2,2,,,
1,12,9_9,,2,2,,2,,,1,
1,13,10_10,,3,3,,3,2,,,
1,14,7_9,,2,1,,,1,,,
1,15,8_8,,2,,2,,,,,
1,16,8_9,,2,,,1,,,,
1,17,9_9,1,2,2,2,2,1,,,
1,18,10_10,,2,2,2,4,1,,,1
1,19,8_8,,2,,,4,,,2,
1,20,10_10,1,2,2,1,1,1,1,1,1
2,1,3_3,,,1,,,,,,
2,2,5_5,,2,,,1,,,,
2,3,7_7,,2,1,,,1,,,
2,4,7_8,,2,,2,,,,,
2,5,7_9,1,,2,,2,,,,
2,6,8_9,,3,2,,,,1,,
2,7,10_10,2,2,,2,,,,1,
2,8,7_7,,2,1,,,1,,,
2,9,7_8,,2,,2,,,,,
2,10,7_9,,2,,,1,,,,1
2,11,8_9,,,2,,2,2,,,
2,12,9_9,,2,2,,2,,,1,
2,13,10_10,,3,3,,3,2,,,
2,14,7_9,,2,1,,,1,,,
2,15,8_8,,2,,2,,,,,
2,16,8_9,,2,,,1,,,,
2,17,9_9,1,2,2,2,2,1,,,
2,18,10_10,,2,2,2,4,1,,,1
2,19,8_8,,2,,,4,,,2,
2,20,10_10,1,2,2,1,1,1,1,1,1
