group,level,reward_type,reward_spec,reward_value
1,1,DICE,0,100
1,2,COIN,0,5000
1,3,GEM,0,50
1,4,DICE,0,120
1,5,COIN,0,6000
1,6,GEM,0,60
1,7,DICE,0,144
1,8,COIN,0,7200
1,9,GEM,0,72
1,10,DICE,0,172
1,11,COIN,0,8640
1,12,GEM,0,86
1,13,DICE,0,206
1,14,COIN,0,10368
1,15,GEM,0,103
1,16,DICE,0,247
1,17,COIN,0,12441
1,18,GEM,0,123
1,19,DICE,0,296
1,20,COIN,0,14929
2,1,DICE,0,200
2,2,COIN,0,10000
2,3,GEM,0,100
2,4,DICE,0,240
2,5,COIN,0,12000
2,6,GEM,0,120
2,7,DICE,0,288
2,8,COIN,0,14400
2,9,GEM,0,144
2,10,DICE,0,344
2,11,COIN,0,17280
2,12,GEM,0,172
2,13,DICE,0,412
2,14,COIN,0,20736
2,15,GEM,0,206
2,16,DICE,0,494
2,17,COIN,0,24882
2,18,GEM,0,246
2,19,DICE,0,592
2,20,COIN,0,29858
