group,level,required_points,reward_gold,reward_gem,reward_dice,reward_desc
1,1,10,1000,,,[一級獎勵]
1,2,20,,20,20,[二級獎勵]
1,3,50,,,50,[三級獎勵]
1,4,100,10000,40,100,[四級獎勵]
1,5,200,,,200,[五級獎勵]
1,6,400,,,1000,[六級獎勵]
1,7,800,,,2000,[七級獎勵]
1,8,1500,,,4000,[八級獎勵]
1,9,3000,,,6000,[九級獎勵]
1,10,5000,,,10000,[十級獎勵]
1,11,8000,500000,,15000,[十一級獎勵]
1,12,10000,,5000,,[十二級獎勵]
1,13,20000,,,30000,[十三級獎勵]
1,14,40000,1500000,,50000,[十四級獎勵]
1,15,60000,,,80000,[十五級獎勵]
1,16,100000,10000000,50000,200000,[終極獎勵]
2,1,20,2000,0,0,[一級獎勵]
2,2,40,0,40,40,[二級獎勵]
2,3,100,0,0,100,[三級獎勵]
2,4,200,20000,80,200,[四級獎勵]
2,5,400,0,0,400,[五級獎勵]
2,6,800,0,0,2000,[六級獎勵]
2,7,1600,0,0,4000,[七級獎勵]
2,8,3000,0,0,8000,[八級獎勵]
2,9,6000,0,0,12000,[九級獎勵]
2,10,10000,0,0,20000,[十級獎勵]
2,11,16000,1000000,0,30000,[十一級獎勵]
2,12,20000,0,10000,0,[十二級獎勵]
2,13,40000,0,0,60000,[十三級獎勵]
2,14,80000,3000000,0,100000,[十四級獎勵]
2,15,120000,0,0,160000,[十五級獎勵]
2,16,200000,20000000,100000,400000,[終極獎勵]
3,1,40,4000,0,0,[一級獎勵]
3,2,80,0,80,80,[二級獎勵]
3,3,200,0,0,200,[三級獎勵]
3,4,400,40000,160,400,[四級獎勵]
3,5,800,0,0,800,[五級獎勵]
3,6,1600,0,0,4000,[六級獎勵]
3,7,3200,0,0,8000,[七級獎勵]
3,8,6000,0,0,16000,[八級獎勵]
3,9,12000,0,0,24000,[九級獎勵]
3,10,20000,0,0,40000,[十級獎勵]
3,11,32000,2000000,0,60000,[十一級獎勵]
3,12,40000,0,20000,0,[十二級獎勵]
3,13,80000,0,0,120000,[十三級獎勵]
3,14,160000,6000000,0,200000,[十四級獎勵]
3,15,240000,0,0,320000,[十五級獎勵]
3,16,400000,40000000,200000,800000,[終極獎勵]
4,1,80,8000,0,0,[一級獎勵]
4,2,160,0,160,160,[二級獎勵]
4,3,400,0,0,400,[三級獎勵]
4,4,800,80000,320,800,[四級獎勵]
4,5,1600,0,0,1600,[五級獎勵]
4,6,3200,0,0,8000,[六級獎勵]
4,7,6400,0,0,16000,[七級獎勵]
4,8,12000,0,0,32000,[八級獎勵]
4,9,24000,0,0,48000,[九級獎勵]
4,10,40000,0,0,80000,[十級獎勵]
4,11,64000,4000000,0,120000,[十一級獎勵]
4,12,80000,0,40000,0,[十二級獎勵]
