嚜磨d,level,count,weight,coin_value,gem_value,dice_value,level_up
1,1,1,100,,,50,
2,1,2,200,2000,,,
3,1,3,300,,20,,
4,1,4,400,250,,,
5,1,5,500,50,,300,
6,1,6,50,,200,,1
7,1,7,200,500,,,
8,1,8,300,2000,,100,
9,1,9,400,200,,,
10,1,10,500,250,,,
11,1,11,200,50,,,
12,1,12,50,,500,,1
13,2,1,100,,,50,
14,2,2,200,2000,,,
15,2,3,300,,20,,
16,2,4,400,250,,,
17,2,5,500,50,,300,
18,2,6,50,,200,,1
19,2,7,200,500,,,
20,2,8,300,2000,,100,
21,2,9,400,200,,,
22,2,10,500,250,,,
23,2,11,200,50,,,
24,2,12,50,,500,,1
25,3,1,100,,,50,
26,3,2,200,2000,,,
27,3,3,300,,20,,
28,3,4,400,250,,,
29,3,5,500,50,,300,
30,3,6,50,,200,,1
31,3,7,200,500,,,
32,3,8,300,2000,,100,
33,3,9,400,200,,,
34,3,10,500,250,,,
35,3,11,200,50,,,
36,3,12,50,,500,,1
37,4,1,100,,,50,
38,4,2,200,2000,,,
39,4,3,300,,20,,
40,4,4,400,250,,,
41,4,5,500,50,,300,
42,4,6,50,,200,,1
43,4,7,200,500,,,
44,4,8,300,2000,,100,
45,4,9,400,200,,,
46,4,10,500,250,,,
47,4,11,200,50,,,
48,4,12,50,,500,,1
49,5,1,100,,,50,
50,5,2,200,2000,,,
51,5,3,300,,20,,
52,5,4,400,250,,,
53,5,5,500,50,,300,
54,5,6,50,,200,,1
55,5,7,200,500,,,
56,5,8,300,2000,,100,
57,5,9,400,200,,,
58,5,10,500,250,,,
59,5,11,200,50,,,
60,5,12,50,,500,,1
61,6,1,100,,,50,
62,6,2,200,2000,,,
63,6,3,300,,20,,
64,6,4,400,250,,,
65,6,5,500,50,,300,
66,6,6,50,,200,,1
67,6,7,200,500,,,
68,6,8,300,2000,,100,
69,6,9,400,200,,,
70,6,10,500,250,,,
71,6,11,200,50,,,
72,6,12,50,,500,,1
73,7,1,100,,,50,
74,7,2,200,2000,,,
75,7,3,300,,20,,
76,7,4,400,250,,,
77,7,5,500,50,,300,
78,7,6,50,,200,,1
79,7,7,200,500,,,
80,7,8,300,2000,,100,
81,7,9,400,200,,,
82,7,10,500,250,,,
83,7,11,200,50,,,
84,7,12,50,,500,,1
85,8,1,100,,,50,
86,8,2,200,2000,,,
87,8,3,300,,20,,
88,8,4,400,250,,,
89,8,5,500,50,,300,
90,8,6,50,,200,,1
91,8,7,200,500,,,
92,8,8,300,2000,,100,
93,8,9,400,200,,,
94,8,10,500,250,,,
95,8,11,200,50,,,
96,8,12,50,,500,,1
97,9,1,100,,,50,
98,9,2,200,2000,,,
99,9,3,300,,20,,
100,9,4,400,250,,,
101,9,5,500,50,,300,
102,9,6,50,,200,,1
103,9,7,200,500,,,
104,9,8,300,2000,,100,
105,9,9,400,200,,,
106,9,10,500,250,,,
107,9,11,200,50,,,
108,9,12,50,,500,,1
109,10,1,100,,,50,
110,10,2,200,2000,,,
111,10,3,300,,20,,
112,10,4,400,250,,,
113,10,5,500,50,,300,
114,10,6,50,,200,,1
115,10,7,200,500,,,
116,10,8,300,2000,,100,
117,10,9,400,200,,,
118,10,10,500,250,,,
119,10,11,200,50,,,
120,10,12,50,,500,,1
