level,reward_type,reward_spec,reward_value,bonus_type,bonus_spec,bonus_value,fruit_reward_type,fruit_reward_spec,fruit_reward_value
1,DICE,0,50,COIN,0,50000,DICE,0,100
2,COIN,0,20000,GEM,0,100,COIN,0,80000
3,GEM,0,20,COIN,0,100000,GEM,0,100
4,COIN,0,80000,GEM,0,200,DICE,0,500
5,DICE,0,200,COIN,0,200000,COIN,0,150000
6,COIN,0,120000,GEM,0,400,GEM,0,1000
7,GEM,0,100,COIN,0,400000,DICE,0,2000
8,COIN,0,200000,GEM,0,800,COIN,0,30000
9,DICE,0,500,COIN,0,800000,GEM,0,2000
10,DICE,0,2000,GEM,0,1600,DICE,0,5000
