id,partner,level,required_points,reward_gold,reward_gem,reward_dice,reward_desc
1,1,1,1000,10000,,,[第一階獎勵]
2,1,2,3000,,20,200,[第二階獎勵]
3,1,3,8000,50000,100,,[第三階獎勵]
4,1,4,15000,,,500,[第四階獎勵]
5,1,5,40000,20000,200,1000,[最終獎勵]
6,2,1,1000,10000,,,[第一階獎勵]
7,2,2,3000,,20,200,[第二階獎勵]
8,2,3,8000,50000,100,,[第三階獎勵]
9,2,4,15000,,,500,[第四階獎勵]
10,2,5,40000,20000,200,1000,[最終獎勵]
11,3,1,1000,10000,,,[第一階獎勵]
12,3,2,3000,,20,200,[第二階獎勵]
13,3,3,8000,50000,100,,[第三階獎勵]
14,3,4,15000,,,500,[第四階獎勵]
15,3,5,40000,20000,200,1000,[最終獎勵]
16,4,1,1000,10000,,,[第一階獎勵]
17,4,2,3000,,20,200,[第二階獎勵]
18,4,3,8000,50000,100,,[第三階獎勵]
19,4,4,15000,,,500,[第四階獎勵]
20,4,5,40000,20000,200,1000,[最終獎勵]
