group,sort,reward_type,reward_spce,reward_value,weight,integral,icon,desc
1,3,GOLD,0,50000,1000,200,,
1,2,GOLD,0,25000,350,100,,
1,1,GOLD,0,12500,50,50,,
2,3,GOLD,0,52500,1000,200,,
2,2,GOLD,0,26250,350,100,,
2,1,GOLD,0,13125,50,50,,
3,3,GOLD,0,55125,1000,200,,
3,2,GOLD,0,27562,350,100,,
3,1,GOLD,0,13781,50,50,,
4,3,DICE,0,200,1000,200,,
4,2,DICE,0,100,350,100,,
4,1,DICE,0,50,50,50,,
5,3,DICE,0,210,1000,200,,
5,2,DICE,0,105,350,100,,
5,1,DICE,0,52,50,50,,
6,3,DICE,0,220,1000,200,,
6,2,DICE,0,110,350,100,,
6,1,DICE,0,54,50,50,,
7,3,GEM,0,100,1000,200,,
7,2,GEM,0,50,350,100,,
7,1,GEM,0,25,50,50,,
8,3,GEM,0,105,1000,200,,
8,2,GEM,0,52,350,100,,
8,1,GEM,0,26,50,50,,
9,3,GEM,0,110,1000,200,,
9,2,GEM,0,54,350,100,,
9,1,GEM,0,100,50,50,,
10,3,DICE,0,100,1000,200,,
10,2,GEM,0,20,350,100,,
10,1,COIN,0,55000,50,50,,
11,3,GOLD,0,55000,1000,200,,
11,2,GOLD,0,27500,350,100,,
11,1,GOLD,0,13750,50,50,,
12,3,GOLD,0,57750,1000,200,,
12,2,GOLD,0,28875,350,100,,
12,1,GOLD,0,14437,50,50,,
13,3,GOLD,0,60637,1000,200,,
13,2,GOLD,0,30318,350,100,,
13,1,GOLD,0,15159,50,50,,
14,3,DICE,0,220,1000,200,,
14,2,DICE,0,110,350,100,,
14,1,DICE,0,55,50,50,,
15,3,DICE,0,231,1000,200,,
15,2,DICE,0,115,350,100,,
15,1,DICE,0,57,50,50,,
16,3,DICE,0,242,1000,200,,
16,2,DICE,0,121,350,100,,
16,1,DICE,0,59,50,50,,
17,3,GEM,0,110,1000,200,,
17,2,GEM,0,55,350,100,,
17,1,GEM,0,27,50,50,,
18,3,GEM,0,115,1000,200,,
18,2,GEM,0,57,350,100,,
18,1,GEM,0,28,50,50,,
19,3,GEM,0,121,1000,200,,
19,2,GEM,0,59,350,100,,
19,1,GEM,0,110,50,50,,
20,3,DICE,0,110,1000,200,,
20,2,GEM,0,22,350,100,,
20,1,COIN,0,60500,50,50,,
21,3,GOLD,0,60500,1000,200,,
21,2,GOLD,0,30250,350,100,,
21,1,GOLD,0,15125,50,50,,
22,3,GOLD,0,63525,1000,200,,
22,2,GOLD,0,31762,350,100,,
22,1,GOLD,0,15880,50,50,,
23,3,GOLD,0,66700,1000,200,,
23,2,GOLD,0,33349,350,100,,
23,1,GOLD,0,16674,50,50,,
24,3,DICE,0,242,1000,200,,
24,2,DICE,0,121,350,100,,
24,1,DICE,0,60,50,50,,
25,3,DICE,0,254,1000,200,,
25,2,DICE,0,126,350,100,,
25,1,DICE,0,62,50,50,,
26,3,DICE,0,266,1000,200,,
26,2,DICE,0,133,350,100,,
26,1,DICE,0,64,50,50,,
27,3,GEM,0,121,1000,200,,
27,2,GEM,0,60,350,100,,
27,1,GEM,0,29,50,50,,
28,3,GEM,0,126,1000,200,,
28,2,GEM,0,62,350,100,,
28,1,GEM,0,30,50,50,,
29,3,GEM,0,133,1000,200,,
29,2,GEM,0,64,350,100,,
