group,level,count,reward_type,reward_spec,reward_value,weight
1,1,1,DICE,0,40,4000
1,1,2,COIN,0,5000,6000
1,1,3,GEM,0,20,1000
1,1,4,COIN,0,5000,2000
1,2,1,DICE,0,40,4000
1,2,2,COIN,0,5000,6000
1,2,3,GEM,0,20,1000
1,2,4,COIN,0,5000,2000
1,3,1,DICE,0,40,4000
1,3,2,COIN,0,5000,6000
1,3,3,GEM,0,20,1000
1,3,4,COIN,0,5000,2000
1,4,1,DICE,0,40,4000
1,4,2,COIN,0,5000,6000
1,4,3,GEM,0,20,1000
1,4,4,COIN,0,5000,2000
1,5,1,DICE,0,40,4000
1,5,2,COIN,0,5000,6000
1,5,3,GEM,0,20,1000
1,5,4,COIN,0,5000,2000
1,6,1,DICE,0,40,4000
1,6,2,COIN,0,5000,6000
1,6,3,GEM,0,20,1000
1,6,4,NONE,0,0,10000
1,7,1,DICE,0,40,4000
1,7,2,COIN,0,5000,6000
1,7,3,GEM,0,20,1000
1,7,4,NONE,0,0,10000
1,8,1,DICE,0,40,4000
1,8,2,COIN,0,5000,6000
1,8,3,GEM,0,20,1000
1,8,4,NONE,0,0,10000
1,9,1,DICE,0,40,4000
1,9,2,COIN,0,5000,6000
1,9,3,GEM,0,20,1000
1,9,4,NONE,0,0,10000
1,10,1,DICE,0,40,4000
1,10,2,COIN,0,5000,6000
1,10,3,GEM,0,20,1000
1,10,4,NONE,0,0,10000
1,11,1,DICE,0,40,4000
1,11,2,COIN,0,5000,6000
1,11,3,GEM,0,20,1000
1,11,4,NONE,0,0,10000
1,12,1,DICE,0,40,4000
1,12,2,COIN,0,5000,6000
1,12,3,GEM,0,20,1000
1,12,4,NONE,0,0,10000
1,13,1,DICE,0,40,4000
1,13,2,COIN,0,5000,6000
1,13,3,GEM,0,20,1000
1,13,4,NONE,0,0,10000
1,14,1,DICE,0,40,4000
1,14,2,COIN,0,5000,6000
1,14,3,GEM,0,20,1000
1,14,4,NONE,0,0,10000
1,15,1,DICE,0,40,4000
1,15,2,COIN,0,5000,6000
1,15,3,GEM,0,20,1000
1,15,4,NONE,0,0,10000
1,16,1,DICE,0,40,4000
1,16,2,COIN,0,5000,6000
1,16,3,GEM,0,20,1000
1,16,4,NONE,0,0,10000
1,17,1,DICE,0,40,4000
1,17,2,COIN,0,5000,6000
1,17,3,GEM,0,20,1000
1,17,4,NONE,0,0,10000
1,18,1,DICE,0,40,4000
1,18,2,COIN,0,5000,6000
1,18,3,GEM,0,20,1000
1,18,4,NONE,0,0,10000
1,19,1,DICE,0,40,4000
1,19,2,COIN,0,5000,6000
1,19,3,GEM,0,20,1000
1,19,4,NONE,0,0,10000
1,20,1,DICE,0,40,4000
1,20,2,COIN,0,5000,6000
1,20,3,GEM,0,20,1000
1,20,4,NONE,0,0,10000
2,1,1,DICE,0,40,4000
2,1,2,COIN,0,5000,6000
2,1,3,GEM,0,20,1000
2,1,4,COIN,0,5000,2000
2,2,1,DICE,0,40,4000
2,2,2,COIN,0,5000,6000
2,2,3,GEM,0,20,1000
2,2,4,COIN,0,5000,2000
2,3,1,DICE,0,40,4000
2,3,2,COIN,0,5000,6000
2,3,3,GEM,0,20,1000
2,3,4,COIN,0,5000,2000
2,4,1,DICE,0,40,4000
2,4,2,COIN,0,5000,6000
2,4,3,GEM,0,20,1000
2,4,4,COIN,0,5000,2000
2,5,1,DICE,0,40,4000
2,5,2,COIN,0,5000,6000
2,5,3,GEM,0,20,1000
2,5,4,COIN,0,5000,2000
2,6,1,DICE,0,40,4000
2,6,2,COIN,0,5000,6000
2,6,3,GEM,0,20,1000
2,6,4,NONE,0,0,10000
2,7,1,DICE,0,40,4000
2,7,2,COIN,0,5000,6000
2,7,3,GEM,0,20,1000
2,7,4,NONE,0,0,10000
2,8,1,DICE,0,40,4000
2,8,2,COIN,0,5000,6000
2,8,3,GEM,0,20,1000
2,8,4,NONE,0,0,10000
2,9,1,DICE,0,40,4000
2,9,2,COIN,0,5000,6000
2,9,3,GEM,0,20,1000
2,9,4,NONE,0,0,10000
2,10,1,DICE,0,40,4000
2,10,2,COIN,0,5000,6000
2,10,3,GEM,0,20,1000
2,10,4,NONE,0,0,10000
2,11,1,DICE,0,40,4000
2,11,2,COIN,0,5000,6000
2,11,3,GEM,0,20,1000
2,11,4,NONE,0,0,10000
2,12,1,DICE,0,40,4000
2,12,2,COIN,0,5000,6000
2,12,3,GEM,0,20,1000
2,12,4,NONE,0,0,10000
2,13,1,DICE,0,40,4000
2,13,2,COIN,0,5000,6000
2,13,3,GEM,0,20,1000
2,13,4,NONE,0,0,10000
2,14,1,DICE,0,40,4000
2,14,2,COIN,0,5000,6000
2,14,3,GEM,0,20,1000
2,14,4,NONE,0,0,10000
2,15,1,DICE,0,40,4000
2,15,2,COIN,0,5000,6000
2,15,3,GEM,0,20,1000
2,15,4,NONE,0,0,10000
2,16,1,DICE,0,40,4000
2,16,2,COIN,0,5000,6000
2,16,3,GEM,0,20,1000
2,16,4,NONE,0,0,10000
2,17,1,DICE,0,40,4000
2,17,2,COIN,0,5000,6000
2,17,3,GEM,0,20,1000
2,17,4,NONE,0,0,10000
2,18,1,DICE,0,40,4000
2,18,2,COIN,0,5000,6000
2,18,3,GEM,0,20,1000
2,18,4,NONE,0,0,10000
2,19,1,DICE,0,40,4000
2,19,2,COIN,0,5000,6000
2,19,3,GEM,0,20,1000
2,19,4,NONE,0,0,10000
2,20,1,DICE,0,40,4000
2,20,2,COIN,0,5000,6000
2,20,3,GEM,0,20,1000
2,20,4,NONE,0,0,10000
