group,level,reward_probability,reward_type,reward_spec,reward_value,pay_type,pay_value
1,1,0,NONE,0,0,COIN,5000
1,2,0.5,DICE,0,50,COIN,8000
1,3,0.5,COIN,0,5000,COIN,12000
1,4,0.5,GEM,0,20,COIN,15000
1,5,0,NONE,0,0,COIN,20000
1,6,0.5,DICE,0,100,COIN,25000
1,7,0.5,COIN,0,15000,COIN,30000
1,8,0.5,GEM,0,50,COIN,35000
1,9,0,NONE,0,0,COIN,40000
1,10,0.5,DICE,0,200,COIN,50000
1,11,0.5,COIN,0,50000,COIN,60000
1,12,0.5,GEM,0,100,COIN,75000
1,13,0,NONE,0,0,COIN,90000
1,14,0.5,DICE,0,300,COIN,110000
1,15,0.5,COIN,0,100000,COIN,130000
1,16,0.5,GEM,0,200,COIN,150000
1,17,0,NONE,0,0,COIN,180000
1,18,0.5,DICE,0,500,COIN,220000
1,19,0.5,COIN,0,500000,COIN,260000
1,20,1,GEM,0,1000,COIN,300000
2,1,0,NONE,0,0,GEM,10
2,2,0.5,DICE,0,50,GEM,15
2,3,0.5,COIN,0,10000,GEM,20
2,4,0.5,GEM,0,30,GEM,25
2,5,0,NONE,0,0,GEM,30
2,6,0.5,DICE,0,150,GEM,40
2,7,0.5,COIN,0,30000,GEM,50
2,8,0.5,GEM,0,80,GEM,60
2,9,0,NONE,0,0,GEM,70
2,10,0.5,DICE,0,300,GEM,85
2,11,0.5,COIN,0,80000,GEM,100
2,12,0.5,GEM,0,150,GEM,120
2,13,0,NONE,0,0,GEM,140
2,14,0.5,DICE,0,500,GEM,170
2,15,0.5,COIN,0,200000,GEM,200
2,16,0.5,GEM,0,300,GEM,250
2,17,0,NONE,0,0,GEM,300
2,18,0.5,DICE,0,800,GEM,360
2,19,0.5,COIN,0,1000000,GEM,420
2,20,1,GEM,0,2000,GEM,500
